ISO,Country,Subregion,Region,Location,River Basin,Start Date,End Date,Duration
SYR,Syrian Arab Republic,Western Asia,Asia,"Idleb, Lattaquié, Hama",,2026-02-08,2026-02-10,2
IDN,Indonesia,South-eastern Asia,Asia,Greater Jakarta area and the Indramayu regency (Java Isl.),"Cilanang, Srenseng and Medana rivers",2026-01-28,2026-02-03,6
COL,Colombia,Latin America and the Caribbean,Americas,"Cordoba, Sucre, Cauca, La Guajira, Chocó, and Antioquia, Narino, departments",Sinu river,2026-01-26,2026-02-11,16
TUN,Tunisia,Northern Africa,Africa,"Laghouat, Blida, Djelfa, Mascara, El Bayadh, Boumerdes, Tunis, Ariana, Manouba, Ben Arous, Bizerte,Nabeul, Sousse, Monastir, Mahdia, Sfax, Béja, Jendouba, and Kef",,2026-01-18,2026-01-21,3
DZA,Algeria,Northern Africa,Africa,"Laghouat, Blida, Djelfa, Mascara, El Bayadh, Boumerdes, Relizane, Chlef, Alger, Tiaret, Tissemsilt, Médéa, Tipaza, and Aïn Defla provinces",,2026-01-18,2026-01-20,2
IDN,Indonesia,South-eastern Asia,Asia,"Sitaro Islands regency (Celebes, North Sulawesi province); Sumbawa, North Sulawesi, and Halmahera Island",,2026-01-06,2026-01-08,2
AFG,Afghanistan,Southern Asia,Asia,"Herat, Badghis, and Faryab provinces",,2026-01-02,2026-01-04,2
ZWE,Zimbabwe,Sub-Saharan Africa,Africa,"Masvingo, Manicaland, Midlands, and Mashonaland East provinces",,2026-01-01,2026-01-26,25
USA,United States of America,Northern America,Americas,"Santa Barbara, Ventura, Los Angeles, and San Bernardino counties (California)",,2025-12-23,2025-12-25,2
IDN,Indonesia,South-eastern Asia,Asia,"West Nusa Tenggara, North Sulawesi, North Sumatra, and East Java provinces",,2025-12-21,2025-12-23,2
IDN,Indonesia,South-eastern Asia,Asia,"Sampang, Jember Regencies ; Banyuwangi, (Java); Banjar Regencies (Kalimantan)",,2025-12-16,2025-12-18,2
IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Ardabil, Azarbayejan Sharghi, Bushehr, Chaharmahal and Bakhtiari, Esfahan, Fars, Ghom, Golestan, Hamedan, Hormozgan, Kerman, Khorasan Jonoubi, Khorasan Razavi, Khorasan Shomali, Khuzestan, Kohgiluyeh va boyerahma, Kurdistan, Markazi, Mazandaran, Semnan, Sistan-o baluchestan, Yazd, Zanjan",,2025-12-15,2025-12-22,7
MAR,Morocco,Northern Africa,Africa,Safi province (Marrakesh-Safi region); Tinghir province (Drâa-Tafilalet region),,2025-12-14,2025-12-14,0
MYS,Malaysia,South-eastern Asia,Asia,Terengganu and Pahang,,2025-12-14,2025-12-17,3
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"El Torno, La Guardia and Cotoca municipalities (Santa Cruz department); Beni, Cochabamba",Piraí and Espejos rivers,2025-12-12,2025-12-16,4
IRQ,Iraq,Western Asia,Asia,"Ninawa, Sulaymaniyah, Erbil, and Kirkuk governorates",,2025-12-09,2025-12-12,3
MYS,Malaysia,South-eastern Asia,Asia,"Sabah, Sarawak Kelantan, Perlis, Perak, Selangor, Kedah, Penang, Terengganu, and Pahang states",,2025-11-22,2025-12-03,11
THA,Thailand,South-eastern Asia,Asia,"Phra Nakhon Si Ayutthaya province; Tha Din Daeng subdistrict in Bangkok; Chaiya and Kathu districts (Malay Peninsula); hitsanulok, Nakhon Sawan, Uthai Thani, Sing Buri, Chainat, Ang Thong, Suphan Buri, Pathum Thani, Nonthaburi and Nakhon Pathom provinces; Surat Thani, Nakhon Si Thammarat, Trang, Phatthalung, Satun, Songkhla, Pattani, Yala, Narathiwat Prachuap Khiri Khan, Chumphon, Krabi",,2025-11-15,2025-11-27,12
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kinshasa capital city area,"N'djili, Nsanga and Makelele rivers",2025-11-11,2025-11-12,1
IDN,Indonesia,South-eastern Asia,Asia,Nduga district (Papua province),,2025-11-01,2025-11-02,1
